title,artist,streams
Electric Love,BØRNS,"1,161,673,241"
Don't,Bryson Tiller,"1,462,125,421"
Outside (feat. Ellie Goulding),Calvin Harris,"1,313,179,904"
How Deep Is Your Love,Calvin Harris,"1,280,664,745"
Ayo,Chris Brown,"613,365,182"
Cool for the Summer,Demi Lovato,"866,205,316"
Confident,Demi Lovato,"596,335,238"
Five More Hours,Deorro,"849,820,031"
Omen - Radio Edit,Disclosure,"265,906,679"
You Know You Like It,DJ Snake,"533,565,395"
Hotline Bling,Drake,"1,392,989,692"
Jumpman,Drake,"839,268,640"
Thinking out Loud,Ed Sheeran,"2,635,602,795"
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,"1,594,924,301"
On My Mind,Ellie Goulding,"510,805,312"
Centuries,Fall Out Boy,"1,279,092,318"
679 (feat. Remy Boyz),Fetty Wap,"843,430,497"
Trap Queen,Fetty Wap,"1,250,800,267"
My Way (feat. Monty),Fetty Wap,"376,158,666"
My House,Flo Rida,"1,133,699,549"
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,"747,823,882"
Mountain at My Gates,Foals,"207,819,906"
Runaway (U & I),Galantis,"952,362,599"
Barcelona,George Ezra,"272,309,547"
Love Myself,Hailee Steinfeld,"662,778,730"
Take Me to Church,Hozier,"2,806,716,897"
Where Are Ü Now (with Justin Bieber),Jack Ü,"1,139,014,063"
oui,Jeremih,"714,296,483"
Classic Man (feat. Roman GianArthur),Jidenna,"194,364,134"
What Do You Mean?,Justin Bieber,"1,708,547,728"
Way down We Go,KALEO,"1,257,135,611"
King Kunta,Kendrick Lamar,"643,919,856"
Stole the Show,Kygo,"1,039,802,257"
Nothing Left (feat. Will Heard),Kygo,"174,210,951"
High By The Beach,Lana Del Rey,"293,439,213"
Hurt Me,Låpsley,"76,517,990"
Closer,Lemaitre,"127,541,773"
Lot to Learn,Luke Christopher,"325,001,726"
Lean On,Major Lazer,"2,235,070,345"
Light It Up (Remix),Major Lazer,"1,373,289,757"
Uptown Funk (feat. Bruno Mars),Mark Ronson,"2,143,889,899"
Intoxicated - Radio Edit,Martin Solveig,"385,299,332"
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,"388,172,187"
Believe,Mumford & Sons,"290,794,090"
Somebody,Natalie La Rose,"343,600,953"
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,"167,654,183"
Drive,Oh Wonder,"173,741,075"
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,"496,226,532"
Drag Me Down,One Direction,"1,220,730,352"
Perfect,One Direction,"980,811,985"
Sunset Lover,Petit Biscuit,"848,769,647"
Wish You Were Mine - Radio Edit,Philip George,"218,592,652"
Time of Our Lives,Pitbull,"1,455,952,751"
No Type,Rae Sremmurd,"603,049,686"
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,"337,741,607"
FourFiveSeconds,Rihanna,"1,200,734,473"
Bitch Better Have My Money,Rihanna,"889,178,822"
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,"892,953,678"
Sugar (feat. Francesco Yates),Robin Schulz,"1,307,135,911"
Lay It All on Me (feat. Ed Sheeran),Rudimental,"408,622,389"
Like I Can,Sam Smith,"885,477,880"
You Don't Own Me (feat. G-Eazy),SAYGRACE,"541,895,345"
Same Old Love,Selena Gomez,"682,179,376"
Hands To Myself,Selena Gomez,"711,251,680"
Good For You,Selena Gomez,"738,893,298"
Geronimo,Sheppard,"619,594,786"
Easy Love,Sigala,"376,612,202"
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,"635,929,854"
The Less I Know The Better,Tame Impala,"1,822,806,137"
Blank Space,Taylor Swift,"1,969,158,945"
Wildest Dreams,Taylor Swift,"1,022,028,108"
Bad Blood,Taylor Swift,"196,642,652"
Style,Taylor Swift,"1,315,322,375"
Spirits,The Strumbellas,"462,523,109"
The Hills,The Weeknd,"2,495,556,223"
Can't Feel My Face,The Weeknd,"1,858,872,828"
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"1,788,140,747"
In The Night,The Weeknd,"577,437,906"
Die A Happy Man,Thomas Rhett,"654,007,899"
Talking Body,Tove Lo,"643,102,728"
Antidote,Travis Scott,"730,490,071"
Slow Motion,Trey Songz,"467,201,546"
Na Na,Trey Songz,"320,642,395"
YOUTH,Troye Sivan,"667,863,324"
Stressed Out,Twenty One Pilots,"2,490,281,983"
I Don't Mind (feat. Juicy J),USHER,"390,738,792"
Shut Up and Dance,WALK THE MOON,"1,906,085,149"
See You Again (feat. Charlie Puth),Wiz Khalifa,"2,025,506,498"
Renegades,X Ambassadors,"837,439,283"
Unsteady,X Ambassadors,"701,050,283"
King,Olly Alexander (Years & Years),"703,428,192"
I Want You To Know,Zedd,"351,608,288"
When We Were Young,Adele,"1,389,165,287"
Send My Love (To Your New Lover),Adele,"1,124,669,839"
Hello,Adele,"1,627,767,937"
Here,Alessia Cara,"665,116,489"
Alarm,Anne-Marie,"381,344,981"
Into You,Ariana Grande,"1,485,081,547"
Side To Side,Ariana Grande,"1,515,901,332"
Dangerous Woman,Ariana Grande,"1,246,701,267"
